date,open,high,low,close,volume
2024-07-30 11:49:00,1189.3,1189.3,1188.85,1189.0,268
2024-07-30 11:50:00,1189.0,1189.0,1187.2,1187.6,571
2024-07-30 11:51:00,1187.6,1187.6,1187.2,1187.2,216
2024-07-30 11:52:00,1187.2,1188.55,1187.0,1188.55,744
2024-07-30 11:53:00,1188.55,1188.55,1186.4,1186.4,327
2024-07-30 11:54:00,1186.4,1187.0,1186.0,1187.0,427
2024-07-30 11:55:00,1186.75,1187.0,1186.75,1187.0,866
2024-07-30 11:56:00,1187.0,1187.0,1185.4,1185.4,904
2024-07-30 11:57:00,1185.4,1186.3,1185.2,1186.3,253
2024-07-30 11:58:00,1186.3,1186.3,1185.9,1186.0,396
2024-07-30 11:59:00,1186.0,1186.0,1185.65,1186.0,197
2024-07-30 12:00:00,1186.0,1186.0,1185.6,1186.0,444
2024-07-30 12:01:00,1186.0,1186.0,1184.95,1184.95,534
2024-07-30 12:02:00,1184.95,1185.75,1184.95,1185.75,947
2024-07-30 12:03:00,1185.75,1185.75,1182.7,1183.85,1655
2024-07-30 12:04:00,1183.85,1185.0,1183.7,1185.0,328
2024-07-30 12:05:00,1185.0,1185.0,1184.75,1184.75,213
2024-07-30 12:06:00,1184.75,1185.0,1184.75,1185.0,217
2024-07-30 12:07:00,1185.0,1185.0,1184.35,1184.65,421
2024-07-30 12:08:00,1183.75,1184.1,1183.2,1183.85,448
2024-07-30 12:09:00,1183.85,1183.85,1182.45,1182.8,371
2024-07-30 12:10:00,1182.8,1182.8,1182.05,1182.05,388
2024-07-30 12:11:00,1182.05,1182.3,1179.05,1180.1,954
2024-07-30 12:12:00,1180.1,1180.1,1178.6,1179.75,448
2024-07-30 12:13:00,1179.75,1179.95,1178.5,1179.75,1786
2024-07-30 12:14:00,1179.75,1182.55,1179.75,1182.0,1827
2024-07-30 12:15:00,1182.0,1184.8,1182.0,1184.8,345
2024-07-30 12:16:00,1184.8,1185.0,1183.05,1183.85,1181
2024-07-30 12:17:00,1183.85,1183.85,1183.4,1183.5,226
2024-07-30 12:18:00,1183.5,1183.5,1183.4,1183.5,196
2024-07-30 12:19:00,1183.5,1183.5,1183.4,1183.5,242
